id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1321138727738085381,1321128813892349955,2020-10-27 18:16:32 CET,2020-10-27,18:16:32,+0100,3169905249,trapmasterrick,Rick Spartan ♨️,,"@dstiddypop43 #BLM, #Latinos, #empathy, and not being a bag of dicks.",en,[],[],[],0,0,0,"['blm', 'latinos', 'empathy']",[],https://twitter.com/trapmasterrick/status/1321138727738085381,False,,0,,,,,,,,"[{'screen_name': 'dstiddypop43', 'name': 'Derek', 'id': '42198502'}]",,,,
1321138726278369280,1321138726278369280,2020-10-27 18:16:32 CET,2020-10-27,18:16:32,+0100,589448567,demhugh,⚖ Fightin for America!🐝💛,,"A Flood Of Outside Money Is Pouring Into 2020 Races, Alarming Transparency Advocates https://t.co/vieX3hmEZl Z29 #ONEV1 #BLM",en,[],['http://dlvr.it/RkS27C'],[],0,0,0,"['onev1', 'blm']",[],https://twitter.com/DemHugh/status/1321138726278369280,False,,0,,,,,,,,[],,,,
1321138714786074636,1321138714786074636,2020-10-27 18:16:29 CET,2020-10-27,18:16:29,+0100,771361727166423044,stephenritz,Stephen Ritz,,"THE DEGREE TO WHICH WE RESIST INJUSTICE IS THE DEGREE TO WHICH WE ARE ALL FREE! I’ve got my green shoes on &amp; I’m looking for good trouble.
#BLM #BlackLivesMatter #VERGE20 @GreenBiz @greenBXmachine @Daninierenberg @JonathanToews #MesereteDavis @makower @ShanaRappaport https://t.co/XswWVzBl2j",en,"[{'screen_name': 'greenbiz', 'name': 'greenbiz', 'id': '15942016'}, {'screen_name': 'greenbxmachine', 'name': 'green bronx machine', 'id': '308552033'}, {'screen_name': 'daninierenberg', 'name': 'danielle nierenberg, food tank', 'id': '33098495'}, {'screen_name': 'jonathantoews', 'name': 'jonathan toews', 'id': '4920814595'}, {'screen_name': 'makower', 'name': 'joel makower', 'id': '15198966'}, {'screen_name': 'shanarappaport', 'name': 'shana rappaport', 'id': '1191733316'}]",[],['https://pbs.twimg.com/media/ElWgOhTWkAEYcwK.jpg'],0,0,0,"['blm', 'blacklivesmatter', 'verge20', 'meseretedavis']",[],https://twitter.com/StephenRitz/status/1321138714786074636,False,,1,https://pbs.twimg.com/media/ElWgOhTWkAEYcwK.jpg,,,,,,,[],,,,
1321138682129072128,1321138682129072128,2020-10-27 18:16:22 CET,2020-10-27,18:16:22,+0100,1282523269728370688,melsddd,MTKA,,"Lmao, #Democrat #BLM are so ""violent"" meanwhile #Trumpsupporters threaten Lesley Stahl over Trump's tantrum on @60Minutes. Can #MAGA #TrumpSupporters  even more pathetic as your king @realDonaldTrump? 

https://t.co/yyU8S9sCTR",en,"[{'screen_name': '60minutes', 'name': '60 minutes', 'id': '18812572'}, {'screen_name': 'realdonaldtrump', 'name': 'donald j. trump', 'id': '25073877'}]",['https://www.nydailynews.com/news/national/ny-lesley-stahl-trump-60-minutes-death-threat-20201027-njzpths36fg4ze2elzhhwygmsi-story.html'],[],0,0,0,"['democrat', 'blm', 'trumpsupporters', 'maga', 'trumpsupporters']",[],https://twitter.com/Melsddd/status/1321138682129072128,False,,0,,,,,,,,[],,,,
1321138663955132417,1321138663955132417,2020-10-27 18:16:17 CET,2020-10-27,18:16:17,+0100,1278050664677953536,owlsi1,OWLSI- CA equality chick--SHARE my creations PLZ😁,,"ALWAYS amazes me how the most RACIST folks
act like
&gt;&gt;&gt;BLACK EXPERIENCE EXPERTS!
their only experience being- watching the 1
Black guy the racists put in the 1960's movie
w/ the DISGUSTING role

RACISTS r doing EVERYTHING they can
2 keep OLD LIES alive

#BLM #LGBTQ #BIDENHARRIS https://t.co/pOSKGvbEbR",en,[],[],"['https://pbs.twimg.com/media/ElWgmoUUwAAfY8X.jpg', 'https://pbs.twimg.com/media/ElWgmo0UUAAJ6oz.jpg']",0,0,0,"['blm', 'lgbtq', 'bidenharris']",[],https://twitter.com/OWLSI1/status/1321138663955132417,False,https://twitter.com/B52Malmet/status/1321135814840037376,1,https://pbs.twimg.com/media/ElWgmoUUwAAfY8X.jpg,,,,,,,[],,,,
1321138648071458817,1321131181145022467,2020-10-27 18:16:13 CET,2020-10-27,18:16:13,+0100,36464041,russosimon,Russo † $imon® 🇮🇱🇺🇸🇭🇹,,@NYCMayor 🥶 #BLM #BlackLivesMatter is coming...,en,[],[],[],0,0,0,"['blm', 'blacklivesmatter']",[],https://twitter.com/russosimon/status/1321138648071458817,False,,0,,,,,,,,"[{'screen_name': 'NYCMayor', 'name': 'Mayor Bill de Blasio', 'id': '19834403'}]",,,,
1321138636784607234,1321138636784607234,2020-10-27 18:16:11 CET,2020-10-27,18:16:11,+0100,30888314,darin_toliver,"Darin Toliver, MSW 🇺🇸","{'type': 'Point', 'coordinates': [39.9527, -75.1651]}","This. Is. America. 🇺🇸 #WalterWallaceJr #Philly #BLM #Listen2Change ✊🏾✊🏾😡 @ Philadelphia, Pennsylvania https://t.co/508s4VVV8F",cy,[],['https://www.instagram.com/p/CG2uJ7yhV_lrjGeO5jC0L8l_x_jbxmTeSqKndo0/?igshid=1chyoai5jk6zd'],[],0,0,0,"['walterwallacejr', 'philly', 'blm', 'listen2change']",[],https://twitter.com/darin_toliver/status/1321138636784607234,False,,0,,,,,,,,[],,,,
1321138594879164416,1321138594879164416,2020-10-27 18:16:01 CET,2020-10-27,18:16:01,+0100,3087434682,corowin22,Corowin,,BLM = burn loot murder #BLMAntifaTerroristsThugs #BLM,in,[],[],[],0,0,0,"['blmantifaterroriststhugs', 'blm']",[],https://twitter.com/Corowin22/status/1321138594879164416,False,https://twitter.com/DonaldJTrumpJr/status/1321066860138450944,0,,,,,,,,[],,,,
1321138450632863745,1321135814840037376,2020-10-27 18:15:26 CET,2020-10-27,18:15:26,+0100,1278050664677953536,owlsi1,OWLSI- CA equality chick--SHARE my creations PLZ😁,,"@B52Malmet ALWAYS amazes me how the most RACIST folks
act like
&gt;&gt;&gt;BLACK EXPERIENCE EXPERTS!
their only experience being- watching the 1
Black guy the racists put in the 1960's movie
w/ the DISGUSTING role

RACISTS r doing EVERYTHING they can
2 keep OLD LIES alive

#BLM #LGBTQ #BIDENHARRIS https://t.co/ymtD3BJLv1",en,[],[],"['https://pbs.twimg.com/media/ElWgT9vUcAEutFj.jpg', 'https://pbs.twimg.com/media/ElWgT9xUYAAevvu.jpg']",0,0,1,"['blm', 'lgbtq', 'bidenharris']",[],https://twitter.com/OWLSI1/status/1321138450632863745,False,,1,https://pbs.twimg.com/media/ElWgT9vUcAEutFj.jpg,,,,,,,"[{'screen_name': 'B52Malmet', 'name': 'Barbara Malmet', 'id': '2876041031'}]",,,,
1321138443276177415,1321138443276177415,2020-10-27 18:15:25 CET,2020-10-27,18:15:25,+0100,1283100118850437121,granite29887580,Granite,,"Revolution action!!! #BLM You dark white modafokazs, burn it all down. 🧯

https://t.co/tbC54nYSDo",en,[],['https://www.youtube.com/watch?v=i8JBUktSxvQ'],[],0,0,0,['blm'],[],https://twitter.com/Granite29887580/status/1321138443276177415,False,,0,,,,,,,,[],,,,
